operation,mode,resource,start,duration,preferences
1,1,1,0.00,12.00,
1,1,4,5.00,13.00,
1,2,1,0.00,12.00,
1,2,3,0.00,12.00,
1,3,1,0.00,8.00,
1,3,5,0.00,5.00,
2,1,2,0.00,10.00,1
2,1,4,0.00,14.00,1
2,2,2,11.00,9.00,1
2,2,3,0.00,11.00,1
3,1,6,0.00,14.00,1
3,2,6,0.00,6.00,1
4,1,5,0.00,10.00,2;3
4,1,6,0.00,25.00,2;3
4,2,2,0.00,21.00,2;3
4,2,4,21.00,14.00,2;3
4,3,2,0.00,30.00,2;3
5,1,1,0.00,22.00,
5,2,3,0.00,22.00,
5,2,5,1.00,16.00,
6,1,4,0.00,28.00,
6,1,7,14.00,14.00,
7,1,5,0.00,17.00,4;6
7,1,8,10.00,7.00,4;6
8,1,3,0.00,21.00,5;7
