operation,mode,resource,start,duration,preferences
1,1,1,0.00,16.00,
1,1,3,10.00,20.00,
1,2,2,0.00,15.00,
1,2,4,15.00,8.00,
1,3,6,0.00,38.00,
2,1,1,0.00,10.00,
2,1,2,8.00,12.00,
2,2,1,14.00,15.00,
2,2,3,9.00,9.00,
2,2,5,0.00,14.00,
3,1,2,0.00,32.00,1;2
3,2,3,0.00,16.00,1;2
3,2,4,16.00,30.00,1;2
4,1,1,0.00,10.00,3
4,1,2,5.00,13.00,3
4,1,3,15.00,13.00,3
5,1,4,0.00,18.00,3
5,1,5,18.00,9.00,3
5,2,1,0.00,14.00,3
5,2,2,19.00,19.00,3
5,2,6,10.00,28.00,3
6,1,5,0.00,15.00,4
6,1,6,15.00,8.00,4
6,2,1,0.00,35.00,4
7,1,4,10.00,8.00,5
7,1,5,0.00,10.00,5
8,1,1,0.00,12.00,6;7
8,1,6,8.00,14.00,6;7
