operation,mode,resource,start,duration,preferences
1,1,1,0.00,16.00,
1,1,3,16.00,9.00,
1,2,4,15.00,14.00,
1,3,5,0.00,21.00,
2,1,3,0.00,8.00,1
2,1,4,8.00,22.00,1
3,1,1,25.00,5.00,1
3,1,2,0.00,15.00,1
3,1,3,15.00,10.00,1
3,1,4,30.00,10.00,1
3,1,5,0.00,27.00,1
3,1,6,27.00,13.00,1
4,1,6,0.00,20.00,1
4,2,4,0.00,28.00,1
4,3,3,0.00,37.00,1
5,1,1,23.00,12.00,3;4
5,1,2,0.00,16.00,3;4
5,1,5,16.00,7.00,3;4
5,2,4,18.00,22.00,3;4
5,2,6,0.00,18.00,3;4
5,3,3,0.00,40.00,3;4
6,1,1,0.00,10.00,5
6,1,4,0.00,18.00,5
6,2,2,0.00,10.00,5
7,1,2,0.00,30.00,2;4;5;6
7,1,4,30.00,20.00,2;4;5;6
8,1,2,0.00,10.00,6;7
8,1,5,10.00,6.00,6;7
