operation,mode,resource,start,duration,preferences
1,1,3,0.00,37.00,
1,2,2,0.00,19.00,
1,2,4,19.00,10.00,
1,3,6,0.00,40.00,
2,1,4,17.00,18.00,
2,1,5,0.00,17.00,
2,2,4,0.00,18.00,
2,2,5,18.00,15.00,
3,1,1,0.00,14.00,
3,1,2,14.00,14.00,
3,1,3,0.00,28.00,
4,1,5,10.00,20.00,1;2;3
4,2,6,0.00,18.00,1;2;3
5,1,5,0.00,45.00,4
5,2,3,0.00,30.00,4
5,3,4,0.00,19.00,4
5,3,5,14.00,14.00,4
5,4,6,0.00,47.00,4
6,1,4,0.00,15.00,4;5
6,1,5,15.00,6.00,4;5
7,1,5,18.00,18.00,5;6
7,1,6,0.00,18.00,5;6
7,2,6,0.00,42.00,5;6
7,3,4,0.00,42.00,5;6
8,1,5,7.00,6.00,7
8,1,6,0.00,16.00,7
