operation,mode,resource,start,duration,preferences
1,1,1,15.00,1.00,
1,1,3,0.00,16.00,
1,1,5,0.00,16.00,
2,1,3,0.00,3.00,1
2,1,5,0.00,3.00,1
2,2,4,0.00,3.00,1
2,2,5,0.00,3.00,1
3,1,1,0.00,1.00,1
3,1,2,0.00,1.00,1
3,1,3,0.00,2.00,1
3,1,5,0.00,0.00,1
3,1,6,1.00,1.00,1
3,2,1,0.00,1.00,1
3,2,2,0.00,1.00,1
3,2,4,0.00,2.00,1
3,2,5,0.00,0.00,1
3,2,6,1.00,1.00,1
7,1,1,0.00,15.00,
7,1,3,10.00,10.00,
7,2,2,0.00,27.00,
7,3,4,0.00,23.00,
8,1,1,0.00,30.00,
8,2,4,0.00,25.00,
4,1,3,0.00,5.00,2;7;8
4,1,6,0.00,5.00,2;7;8
4,2,4,0.00,5.00,2;7;8
4,2,6,0.00,5.00,2;7;8
5,1,2,0.00,2.00,3
5,1,4,0.00,14.00,3
5,1,6,0.00,2.00,3
6,1,1,15.00,1.00,4;5
6,1,3,0.00,16.00,4;5
6,1,5,0.00,16.00,4;5
9,1,6,0.00,20.00,
9,2,5,0.00,25.00,
10,1,1,25.00,5.00,7;8
10,1,2,0.00,15.00,7;8
10,1,3,15.00,10.00,7;8
10,1,4,30.00,6.00,7;8
10,1,5,0.00,27.00,7;8
10,1,6,27.00,13.00,7;8
11,1,4,0.00,10.00,10
11,1,6,10.00,18.00,10
12,1,4,0.00,18.00,11
12,2,2,0.00,16.00,11
13,1,1,0.00,20.00,9;11
14,1,6,0.00,18.00,12;13
15,1,7,0.00,30.00,6;14
16,1,7,0.00,25.00,
