operation,mode,resource,start,duration,preferences
1,1,2,0.00,9.00,
1,1,3,6.00,10.00,
1,2,2,0.00,11.00,
1,2,4,11.00,12.00,
2,1,1,0.00,7.00,1
2,1,5,7.00,9.00,1
2,1,6,16.00,19.00,1
3,1,3,0.00,21.00,1;2
3,2,3,0.00,10.00,1;2
4,1,4,15.00,11.00,1;3
4,1,6,0.00,18.00,1;3
4,2,4,17.00,24.00,1;3
4,2,6,0.00,17.00,1;3
5,1,4,14.00,21.00,2;3;4
5,1,5,0.00,10.00,2;3;4
5,1,6,8.00,10.00,2;3;4
5,2,5,0.00,27.00,2;3;4
5,2,6,15.00,30.00,2;3;4
6,1,4,0.00,17.00,5
6,1,6,0.00,17.00,5
6,2,4,26.00,17.00,5
6,2,5,0.00,26.00,5
7,1,3,0.00,16.00,4
7,1,5,10.00,22.00,4
8,1,5,0.00,15.00,6;7
8,1,6,15.00,10.00,6;7
