operation,mode,resource,start,duration,preferences
1,1,1,0.00,9.00,
1,1,3,6.00,10.00,
1,2,1,0.00,11.00,
1,2,4,11.00,12.00,
2,1,2,0.00,6.00,1
2,1,5,6.00,14.00,1
2,1,6,16.00,16.00,1
3,1,7,0.00,18.00,1
3,2,7,0.00,10.00,1
4,1,4,15.00,10.00,3
4,1,8,0.00,18.00,3
4,2,4,20.00,20.00,3
4,2,8,0.00,28.00,3
5,1,6,14.00,21.00,2;4
5,1,7,0.00,10.00,2;4
5,1,8,6.00,12.00,2;4
5,2,7,0.00,27.00,2;4
5,2,8,15.00,30.00,2;4
6,1,3,0.00,16.00,5
6,1,5,10.00,22.00,5
7,1,6,0.00,17.00,6
7,1,7,17.00,11.00,6
7,2,5,0.00,26.00,6
7,2,7,26.00,17.00,6
8,1,7,0.00,15.00,7
8,1,8,15.00,10.00,7
