operation,mode,resource,start,duration,preferences
1,1,1,0.00,35.00,
1,2,2,0.00,17.00,
1,2,4,17.00,10.00,
1,3,6,0.00,42.00,
2,1,1,0.00,12.00,1
2,1,2,8.00,22.00,1
3,1,3,0.00,15.00,1;2
3,1,4,12.00,17.00,1;2
3,2,3,16.00,16.00,1;2
3,2,4,0.00,16.00,1;2
4,1,4,0.00,28.00,2;3
4,2,5,0.00,36.00,2;3
4,3,6,0.00,46.00,2;3
5,1,5,0.00,15.00,3;4
5,1,6,15.00,15.00,3;4
5,2,5,14.00,14.00,3;4
5,2,6,0.00,14.00,3;4
6,1,5,0.00,15.00,4;5
6,1,6,15.00,6.00,4;5
7,1,4,0.00,18.00,4;6
7,1,5,18.00,18.00,4;6
7,2,6,0.00,28.00,4;6
7,3,5,0.00,42.00,4;6
8,1,5,0.00,16.00,7
